"tilltalsnamn","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Ayoub",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Ayub",..,..,..,..,..,10,11,..,10,..,16,16,12,19,15,20,25
"Ayuub",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Aziz",..,..,..,..,..,..,..,..,..,..,11,..,..,..,..,..,..
"Baran",..,..,..,..,..,..,..,22,12,..,14,..,13,..,..,..,..
"Bastian",..,..,..,14,11,17,14,17,20,31,23,32,43,45,46,57,58
"Benjamin",201,214,228,258,340,316,309,310,338,370,387,418,450,432,405,397,452
"Ben",..,..,..,..,..,..,..,12,..,18,11,14,20,28,26,33,20
"Benyamin",..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,13,..
"Beppe",..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,..,15
"Berat",..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,19,15
"Bernard",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,15
"Bertil",..,..,..,..,..,..,..,..,..,..,11,..,14,24,17,28,36
"Bilal",14,13,..,11,19,10,12,23,12,17,18,19,20,18,29,37,26
"Bill ",..,..,..,..,..,..,..,..,..,..,10,15,19,27,43,55,65
"Billy",19,18,21,19,11,..,19,14,14,..,14,28,25,39,51,46,49
"Birger",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,18
"Birk",14,16,12,10,14,12,19,11,11,..,11,14,15,23,16,16,19
"Björn",67,50,48,52,24,39,40,31,28,28,35,41,40,30,48,42,56
"Bob",..,..,..,..,..,..,..,..,..,..,..,..,18,13,..,15,16
"Bo",..,..,..,..,..,..,..,..,10,14,15,14,29,28,42,52,67
"Bosse",..,..,..,..,..,..,..,..,..,..,..,..,..,23,25,25,37
"Brandon",..,..,..,..,..,14,..,..,..,..,..,..,..,..,..,..,..
"Brian",10,16,..,..,13,..,10,11,..,16,10,10,10,12,10,..,..
"Bror",..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,20,22
"Bruno",..,..,..,..,12,13,21,23,41,48,44,50,28,36,39,35,40
"Buster",..,..,..,..,..,..,..,..,16,18,14,14,10,..,..,..,..
"Caesar",..,..,..,..,..,..,14,12,19,17,23,24,18,10,14,11,13
"Calle",27,29,41,41,40,33,51,46,49,26,31,25,44,21,22,15,15
"Carl-Johan",..,..,..,..,..,..,19,10,..,..,11,..,..,..,..,..,..
"Carl",409,409,410,416,390,391,369,364,286,297,245,276,208,217,166,184,174
"Carlos",..,..,..,..,11,..,15,..,10,..,..,..,13,..,..,..,..
"Caspar",..,..,12,..,10,12,..,..,11,..,12,..,10,11,13,..,..
"Casper",143,158,179,251,269,273,284,273,273,264,242,238,252,270,232,224,229
"Caspian",..,..,..,..,..,..,16,21,23,25,25,69,69,76,90,86,64
"Cazper",..,..,..,..,..,..,..,..,..,10,12,..,..,..,..,..,..
"Ceasar",..,..,..,..,11,..,13,..,18,16,15,12,13,..,..,..,..
"Cesar",10,..,..,..,..,..,11,..,17,22,18,15,17,19,16,22,..
"Cevin",15,..,12,..,..,14,..,..,..,12,..,..,..,..,..,..,..
"Charbel",..,11,11,..,..,..,..,..,..,10,15,..,..,12,..,..,18
"Charles",..,10,11,15,12,..,..,..,16,20,15,20,26,13,24,29,37
"Charlie",56,57,67,64,90,92,86,124,157,212,246,393,524,559,709,711,627
"Chris",..,..,..,..,..,10,11,..,..,..,10,..,..,13,..,..,11
"Christian",128,122,128,87,88,100,75,75,74,71,64,68,66,55,72,59,81
"Christofer",..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..
"Christoffer",254,203,192,173,141,126,101,77,64,54,46,37,37,43,25,18,16
"Christopher",87,75,77,65,54,53,36,27,33,25,30,19,25,21,19,19,19
"Christos",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Claes",16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Colin",..,16,21,18,28,36,35,45,59,48,71,80,77,92,115,151,199
"Collin",..,..,..,..,..,..,..,..,..,..,..,14,10,29,25,42,48
"Conrad",..,..,..,..,..,..,..,..,..,..,..,15,13,10,10,..,14
"Cornelis",..,..,..,..,..,..,11,..,..,11,13,14,15,25,30,21,51
"Cornelius",..,..,..,..,..,..,..,..,..,..,..,12,..,..,..,11,10
"Dag",..,16,..,11,..,..,13,..,..,..,13,12,..,17,11,23,14
"Damian",..,..,..,..,..,..,..,..,..,..,..,10,15,13,11,16,14
"Damien",..,..,..,..,..,..,..,..,..,11,13,13,16,22,17,14,11
"Damon",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Danial",..,..,10,11,..,10,10,..,..,..,..,..,..,10,..,..,10
"Daniel",759,741,619,461,458,385,355,319,271,243,208,211,220,174,192,169,164
"Danilo",..,..,..,..,..,..,..,..,..,..,..,..,10,14,10,..,10
"Dani",..,..,..,10,..,..,..,..,11,..,..,..,11,..,10,11,..
"Dan",..,..,16,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Danny",13,..,..,..,12,10,15,..,..,15,17,17,16,15,..,14,10
"Dante",13,13,28,27,40,51,40,62,87,141,116,129,128,117,118,116,150
"Danyar",..,..,..,..,..,..,..,..,..,..,..,..,11,..,10,..,..
"Darian",..,..,..,..,..,..,..,..,..,..,..,12,..,..,..,..,..
"Darin",..,..,..,..,..,..,14,59,45,34,24,31,28,26,23,28,27
"Dario",..,..,..,..,..,..,..,..,..,..,14,..,..,..,10,..,..
"Daris",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"David",727,657,640,626,617,623,602,503,433,408,397,312,294,251,237,218,216
"Dean",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Denis",12,..,17,10,17,15,13,11,10,12,..,12,11,13,17,..,..
"Deniz",11,11,18,..,13,17,12,17,..,..,12,12,14,12,16,22,13
"Dennis",264,258,243,193,194,175,151,148,110,118,116,88,82,54,77,56,37
"Denniz",..,10,14,15,10,19,10,..,..,..,..,..,..,..,..,..,..
"Devin ",..,..,..,..,..,..,..,11,24,26,22,33,55,50,61,58,52
"Dewin",..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,10,14
"Dexter",..,..,..,..,..,15,19,30,26,29,45,64,69,42,62,78,66
"Diar",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12
"Didrik",26,19,29,26,22,33,31,25,32,25,29,27,33,39,25,29,27
"Diego",..,..,..,..,..,..,..,..,10,13,13,..,10,15,..,..,..
"Diesel",..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..
"Dilan",..,..,..,..,..,..,..,..,11,..,..,..,14,10,..,..,15
"Dino",12,16,17,18,14,12,18,21,15,26,30,22,22,21,..,20,16
"Dio ",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..
"Dion",..,..,..,..,..,..,..,..,13,22,18,18,17,17,22,15,14
"Dominic",..,..,..,..,..,..,12,15,14,16,26,23,20,22,23,25,32
"Dominik",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,11,..
"Dorian",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..
"Douglas",67,47,89,80,73,62,69,79,74,70,68,75,109,95,81,92,86
"Dylan",..,..,14,19,12,23,17,16,38,22,21,23,44,43,56,45,46
"Ebbe",..,..,..,..,11,21,38,41,49,62,74,114,134,134,230,221,329
"Ebbot ",..,..,..,..,..,..,..,..,..,..,..,..,23,15,20,27,69
"Eddie",78,64,72,64,79,89,92,95,104,115,112,130,168,164,170,161,164
"Eddy",..,..,..,..,..,..,..,..,..,14,..,..,..,14,..,..,..
"Edgar",..,..,11,13,..,16,17,17,19,13,18,21,47,30,23,34,41
"Edin",16,..,..,16,11,21,12,11,14,18,..,15,19,16,13,19,21
"Edmond",..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..
"Edmund",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Edvard",10,14,22,27,21,26,31,21,27,23,40,34,38,55,53,49,47
"Edward",23,22,33,37,47,44,39,32,50,41,45,68,74,76,110,115,101
"Edvin",175,249,251,308,366,345,368,400,407,427,436,418,449,404,378,387,345
"Edwin",50,71,81,114,128,123,106,127,165,149,159,125,158,139,152,152,145
"Efe",..,..,..,..,..,..,..,..,10,13,18,14,16,15,12,..,11
"Egil",..,..,..,..,..,..,..,13,13,14,13,15,11,14,11,..,19
"Egon",..,..,..,..,14,10,11,14,12,19,20,19,28,17,15,21,25
"Einar",19,18,14,23,23,32,31,32,37,46,58,60,74,60,56,72,71
"Eldin",..,..,..,..,11,..,..,..,..,11,..,10,10,..,..,..,12
"Eliah",..,..,..,..,..,..,..,..,11,..,..,12,14,17,15,13,13
"Elia ",..,..,..,..,..,..,10,..,10,..,..,13,18,12,11,22,12
"Elian ",..,..,..,..,..,..,..,..,..,12,13,17,12,11,13,18,20
"Elias",398,492,597,696,871,919,914,983,1035,1036,947,994,875,817,753,658,698
"Eliaz",..,..,..,..,..,..,..,..,10,..,..,17,..,13,..,11,..
"Elijah ",..,..,..,..,..,..,..,..,..,..,..,..,12,12,18,16,12
"Eli",..,..,..,..,..,..,..,..,..,..,..,12,17,19,..,29,22
